入国時年齢,性別,職種関係,職種,所在地(実習先)(都道府県),所在地(実習先)(市区町村),派遣会社,学校所属,組合,所属機関,失踪の有無
25.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,石巻市,"G.G.G CO.,LTD",,JOP協同組合,"TANGAR THAR SEAFOOD CO.,LTD",0
22.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,石巻市,"G.G.G CO.,LTD",,JOP協同組合,"TANGAR THAR SEAFOOD CO.,LTD",0
24.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,石巻市,"G.G.G CO.,LTD",,JOP協同組合,"TANGAR THAR SEAFOOD CO.,LTD",0
27.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,石巻市,"G.G.G CO.,LTD",,JOP協同組合,"TANGAR THAR SEAFOOD CO.,LTD",0
24.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,石巻市,"G.G.G CO.,LTD",,JOP協同組合,"TANGAR THAR SEAFOOD CO.,LTD",0
27.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,石巻市,"G.G.G CO.,LTD",,JOP協同組合,"TANGAR THAR SEAFOOD CO.,LTD",0
23.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,石巻市,"G.G.G CO.,LTD",,JOP協同組合,"SHWE KAN MYINT PROCESSING PLANT&COLD STORE CO.,LTD",0
20.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,石巻市,"G.G.G CO.,LTD",,JOP協同組合,"SHWE KAN MYINT PROCESSING PLANT&COLD STORE CO.,LTD",0
31.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,石巻市,"G.G.G CO.,LTD",,JOP協同組合,"SHWE KAN MYINT PROCESSING PLANT&COLD STORE CO.,LTD",0
28.0,女,食品製造関係,そう菜製造業,埼玉県,草加市,"G.G.G CO.,LTD",,JOP協同組合,"YON MIN PRODUCTION CO.,LTD",0
30.0,女,食品製造関係,そう菜製造業,埼玉県,草加市,"G.G.G CO.,LTD",,JOP協同組合,"YON MIN PRODUCTION CO.,LTD",0
21.0,女,食品製造関係,そう菜製造業,埼玉県,草加市,"G.G.G CO.,LTD",,JOP協同組合,"YON MIN PRODUCTION CO.,LTD",0
22.0,女,食品製造関係,そう菜製造業,埼玉県,草加市,"G.G.G CO.,LTD",,JOP協同組合,"YON MIN PRODUCTION CO.,LTD",0
28.0,女,食品製造関係,そう菜製造業,埼玉県,草加市,"G.G.G CO.,LTD",,JOP協同組合,"YON MIN PRODUCTION CO.,LTD",0
25.0,女,食品製造関係,そう菜製造業,埼玉県,草加市,"G.G.G CO.,LTD",,JOP協同組合,"YON MIN PRODUCTION CO.,LTD",0
23.0,女,食品製造関係,そう菜製造業,埼玉県,草加市,"G.G.G CO.,LTD",,JOP協同組合,"YON MIN PRODUCTION CO.,LTD",0
